countrycode,years,first,last,gy,cap,tfp,band,country
CHN,9,1997,2005,7.857457886655715,3.27637597777788,4.581081908877836,$5-10k,China
JPN,4,1951,1954,5.84814811133163,0.6384585129989961,5.209689598332634,$5-10k,Japan
KOR,17,1954,1970,3.4439715209549875,-0.06404050339118524,3.508012024346173,$5-10k,South Korea
MYS,6,1956,1961,2.8982280795348516,0.12454847702932803,2.7736796025055237,$5-10k,Malaysia
THA,10,1968,1977,6.662307424450179,2.2678846756746176,4.394422748775563,$5-10k,Thailand
TUR,1,1951,1951,19.782115980635773,0.6363624180692657,19.145753562566508,$5-10k,Turkey
TWN,12,1956,1967,5.988227870838377,1.5987631087156087,4.389464762122769,$5-10k,Taiwan
CHL,8,1952,1960,2.9384530039008316,0.5096911300457899,2.428761873855042,$10-20k,Chile
CHN,7,2006,2012,9.643348938726147,3.948172192361344,5.695176746364803,$10-20k,China
DEU,1,1951,1951,7.396543183572746,1.6374274932043538,5.759115690368392,$10-20k,Germany
ESP,6,1951,1956,6.340992436862436,1.3026855736991274,5.038306863163309,$10-20k,Spain
GRC,10,1952,1961,4.749379448654789,-0.15789957312284977,4.907279021777638,$10-20k,Greece
HKG,5,1961,1965,7.689707612293084,2.5752096949979135,5.114497917295171,$10-20k,Hong Kong
JPN,12,1955,1966,6.267776414971286,2.094582188278836,4.17319422669245,$10-20k,Japan
KOR,13,1971,1983,5.9375840004619,2.200779740368033,3.736804260093867,$10-20k,South Korea
MYS,16,1962,1977,4.296632054854044,1.5165217824006039,2.78011027245344,$10-20k,Malaysia
POL,2,1971,1972,3.7746995482390133,2.7320222652856607,1.0426772829533528,$10-20k,Poland
PRT,13,1951,1963,4.917746408508609,1.7676512393749293,3.1500951691336803,$10-20k,Portugal
THA,17,1978,1994,4.48149554453971,1.9404716539919964,2.541023890547714,$10-20k,Thailand
TUR,15,1952,1966,4.447139477013688,1.926533896195196,2.5206055808184917,$10-20k,Turkey
TWN,11,1968,1978,6.2177813172225305,2.9706007150940135,3.2471806021285166,$10-20k,Taiwan
CHL,31,1959,1991,1.4391194581324522,0.5450724709887304,0.8940469871437219,$20-30k,Chile
CHN,6,2013,2018,6.955401222602031,3.369198096229938,3.586203126372093,$20-30k,China
DEU,8,1952,1959,5.6707817065623,1.9513695978563041,3.7194121087059964,$20-30k,Germany
ESP,7,1957,1963,6.382746600040384,1.7720305436755452,4.610716056364838,$20-30k,Spain
FRA,9,1951,1959,3.9563206049614843,0.9903767866944229,2.9659438182670614,$20-30k,France
GBR,1,1951,1951,2.702665213316635,1.694558674543304,1.008106538773331,$20-30k,U.K.
GRC,5,1962,1966,8.480244639891943,2.125201340033236,6.355043299858707,$20-30k,Greece
HKG,11,1966,1976,3.0269919335667694,0.8257575023894383,2.201234431177331,$20-30k,Hong Kong
HUN,7,1971,1977,5.494884157549557,2.4729219970581844,3.021962160491373,$20-30k,Hungary
IRL,12,1951,1962,2.9556911645790773,1.8284305891617285,1.1272605754173488,$20-30k,Ireland
ITA,9,1951,1959,4.6516241863270995,1.513827832321243,3.137796354005856,$20-30k,Italy
JPN,4,1967,1970,9.298582354768348,3.71350931541959,5.5850730393487575,$20-30k,Japan
KOR,5,1984,1988,7.476845580937557,2.372098659800817,5.10474692113674,$20-30k,South Korea
MEX,7,1951,1957,5.319203530649043,1.9842401578531772,3.334963372795866,$20-30k,Mexico
MYS,13,1978,1990,2.9870804904021906,1.8070747558357863,1.1800057345664046,$20-30k,Malaysia
POL,19,1973,1992,2.247813621086165,1.7527189334019178,0.4950946876842474,$20-30k,Poland
PRT,7,1964,1970,5.619816949502443,2.0883447724145467,3.5314721770878963,$20-30k,Portugal
SGP,9,1961,1969,5.299107103545175,1.5159899751017258,3.7831171284434495,$20-30k,Singapore
THA,16,1995,2010,1.981463582542653,0.7209530870907328,1.2605104954519202,$20-30k,Thailand
TUR,9,1967,1975,3.968046839040381,2.322754303125973,1.645292535914408,$20-30k,Turkey
TWN,9,1979,1987,5.287061855419199,1.9120504113288126,3.375011444090386,$20-30k,Taiwan
ARG,8,1951,1960,2.245575408473788,1.625019355594078,0.6205560528797099,$30-40k,Argentina
CAN,3,1951,1953,4.425193699746603,1.1527042746518192,3.272489425094784,$30-40k,Canada
CHL,6,1982,1996,2.805278675436007,1.1097546950189396,1.6955239804170674,$30-40k,Chile
CHN,5,2019,2023,5.300836510942908,2.727414971568791,2.573421539374117,$30-40k,China
DEU,5,1960,1964,4.742817861820718,2.3570453332198817,2.3857725286008367,$30-40k,Germany
