rank,iso3,country,year,gdp
1,USA,United States,2025,30769700000000
2,CHN,China,2025,19498039388042.6
3,DEU,Germany,2025,5050922925047.05
4,JPN,Japan,2025,4435162999976.94
5,GBR,United Kingdom,2025,4002587541846.01
6,IND,India,2025,3956067115771.63
7,FRA,France,2025,3366315927447.33
8,RUS,Russian Federation,2025,2561310169358.74
9,ITA,Italy,2025,2551556954100.35
10,CAN,Canada,2025,2319899772425.92
11,BRA,Brazil,2025,2279920092492.13
12,ESP,Spain,2025,1906453309985.88
13,KOR,"Korea, Rep.",2025,1872374961553.15
14,MEX,Mexico,2025,1832641364775.52
15,AUS,Australia,2025,1798518933689.21
16,TUR,Turkiye,2025,1597293229287
17,IDN,Indonesia,2025,1445642584163.81
18,NLD,Netherlands,2025,1332767651100.39
19,SAU,Saudi Arabia,2025,1276942933333.33
20,CHE,Switzerland,2025,1043529899250.92
