rank,iso3,country,year,gdp
1,CHN,China,2025,41259823532528
2,USA,United States,2025,30769700000000
3,IND,India,2025,17197369286822
4,RUS,Russian Federation,2025,7235550375977.6
5,JPN,Japan,2025,6837216297272.17
6,DEU,Germany,2025,6295798631798.23
7,IDN,Indonesia,2025,5045777634646.3
8,BRA,Brazil,2025,4986894750790.25
9,GBR,United Kingdom,2025,4489311553269.46
10,FRA,France,2025,4396407858114.73
11,TUR,Turkiye,2025,3889308838891.98
12,ITA,Italy,2025,3700051124493.07
13,MEX,Mexico,2025,3413265579050.57
14,KOR,"Korea, Rep.",2025,3262583720598.03
15,ESP,Spain,2025,2954778621729.59
16,CAN,Canada,2025,2780073936107.75
17,SAU,Saudi Arabia,2025,2728040565174.31
18,EGY,"Egypt, Arab Rep.",2025,2391468107658.04
19,NGA,Nigeria,2025,2264022356237.62
20,AUS,Australia,2025,1986426180337.58
